PROVINCE,AQI,PM2_5,PM10,SO2,NO2,CO,O3,Time
安徽,86.395004,46.799999,122.790001,45.360001,42.180000,1.080000,28.120001,2015-01-01
安徽,106.945000,74.800003,163.889999,60.709999,54.299999,1.220000,23.290001,2015-01-02
安徽,108.785004,67.580002,167.570007,46.139999,53.840000,1.390000,23.740000,2015-01-03
安徽,126.129997,76.809998,202.259995,59.770000,66.150002,1.810000,29.690001,2015-01-04
安徽,201.509995,151.509995,280.109985,62.619999,74.949997,2.140000,10.880000,2015-01-05
安徽,119.750000,90.800003,143.279999,52.709999,51.590000,1.650000,16.420000,2015-01-06
安徽,96.274994,72.019997,106.519997,55.720001,52.009998,1.060000,21.040001,2015-01-07
安徽,142.125000,108.699997,155.910004,51.270000,58.650002,1.810000,28.600000,2015-01-08
安徽,219.619995,169.619995,265.750000,77.500000,83.279999,2.150000,27.040001,2015-01-09
安徽,246.229996,196.229996,272.579987,82.760002,71.699997,2.060000,34.040001,2015-01-10
安徽,192.100006,144.470001,210.229996,63.419998,66.480003,1.950000,25.620001,2015-01-11
安徽,86.912498,64.529999,108.709999,40.520000,48.130001,1.260000,17.379999,2015-01-12
安徽,61.912498,44.529999,71.620003,25.809999,39.619999,0.870000,26.600000,2015-01-13
安徽,115.087502,87.070000,123.470001,35.669998,42.549999,1.100000,25.010000,2015-01-14
安徽,145.500000,111.400002,121.599998,25.190001,29.950001,0.940000,57.740002,2015-01-15
安徽,186.357132,140.449997,201.190002,43.509998,43.459999,1.510000,41.980000,2015-01-16
安徽,118.424995,89.739998,149.699997,52.150002,52.200001,1.490000,35.000000,2015-01-17
安徽,99.294998,59.650002,148.589996,35.930000,29.230000,0.970000,51.450001,2015-01-18
安徽,91.824997,41.720001,133.649994,35.709999,38.939999,1.200000,40.759998,2015-01-19
安徽,97.004997,70.320000,144.009995,36.750000,46.480000,1.090000,42.880001,2015-01-20
安徽,134.037506,102.230003,161.320007,51.520000,53.090000,1.630000,25.170000,2015-01-21
安徽,111.575005,84.260002,118.279999,42.400002,41.599998,1.240000,31.850000,2015-01-22
安徽,137.875000,105.300003,153.320007,35.520000,47.689999,1.440000,41.689999,2015-01-23
安徽,231.690002,181.690002,246.649994,49.880001,66.139999,2.030000,20.180000,2015-01-24
安徽,198.171432,148.720001,178.429993,39.889999,45.630001,1.660000,20.450001,2015-01-25
安徽,214.389999,164.389999,218.529999,54.730000,50.930000,1.590000,15.520000,2015-01-26
安徽,78.400002,57.720001,91.790001,39.009998,36.000000,1.040000,31.150000,2015-01-27
安徽,59.240002,41.700001,68.480003,30.860001,29.059999,0.810000,36.270000,2015-01-28
安徽,104.137497,78.309998,89.730003,26.379999,27.639999,0.970000,39.279999,2015-01-29
安徽,169.328568,128.529999,165.199997,49.099998,42.279999,1.360000,32.299999,2015-01-30
安徽,73.187500,53.549999,88.279999,45.470001,44.459999,0.990000,28.799999,2015-01-31
安徽,88.287498,65.629997,95.680000,42.330002,43.580002,1.120000,29.280001,2015-02-01
安徽,116.599998,88.279999,121.610001,34.529999,44.860001,1.170000,32.169998,2015-02-02
安徽,203.559998,153.559998,198.660004,36.880001,46.630001,1.470000,42.959999,2015-02-03
安徽,201.869995,151.869995,205.419998,50.700001,44.799999,1.710000,38.189999,2015-02-04
安徽,74.400002,50.700001,98.800003,37.669998,41.900002,1.250000,36.680000,2015-02-05
安徽,85.787498,63.630001,115.349998,31.190001,38.520000,1.270000,50.639999,2015-02-06
安徽,143.962494,110.169998,182.649994,65.419998,52.910000,1.370000,31.830000,2015-02-07
安徽,70.455002,41.520000,90.910004,39.970001,39.020000,0.990000,37.500000,2015-02-08
安徽,77.604996,53.250000,105.209999,33.490002,36.639999,0.860000,47.709999,2015-02-09
安徽,91.962502,68.570000,112.349998,29.580000,32.000000,0.910000,64.849998,2015-02-10
安徽,151.971420,116.379997,185.119995,50.830002,45.169998,1.460000,51.540001,2015-02-11
安徽,218.789993,168.789993,237.529999,77.370003,64.349998,2.120000,40.529999,2015-02-12
安徽,159.757141,121.830002,190.710007,45.009998,54.029999,1.690000,53.540001,2015-02-13
安徽,128.725006,97.980003,173.250000,43.119999,45.520000,1.500000,74.250000,2015-02-14
安徽,187.671417,141.369995,172.589996,23.709999,44.080002,2.200000,21.790001,2015-02-15
安徽,212.850006,162.850006,239.330002,27.200001,33.520000,2.150000,40.130001,2015-02-16
安徽,129.350006,92.440002,208.699997,37.270000,38.950001,1.630000,66.760002,2015-02-17
安徽,76.790001,49.619999,103.580002,35.599998,26.620001,1.070000,58.500000,2015-02-18
安徽,107.787506,81.230003,117.370003,40.020000,23.270000,0.930000,56.080002,2015-02-19
安徽,62.500000,45.000000,51.380001,15.210000,17.320000,0.700000,40.900002,2015-02-20
安徽,128.375000,97.699997,114.080002,22.730000,19.719999,1.180000,39.700001,2015-02-21
安徽,93.485001,63.990002,136.970001,22.760000,18.020000,1.050000,51.930000,2015-02-22
安徽,68.610001,29.690001,87.220001,27.790001,26.959999,0.980000,52.340000,2015-02-23
安徽,95.725006,71.580002,116.199997,26.139999,23.860001,1.120000,57.180000,2015-02-24
安徽,100.600006,75.480003,130.009995,29.799999,22.360001,1.150000,56.080002,2015-02-25
安徽,86.199997,63.959999,121.309998,40.290001,30.320000,1.250000,58.340000,2015-02-26
安徽,65.065002,41.630001,80.129997,27.930000,23.760000,0.990000,54.520000,2015-02-27
安徽,52.504997,29.730000,55.009998,19.540001,16.530001,0.820000,57.630001,2015-02-28
安徽,83.024994,61.419998,97.760002,25.139999,24.639999,1.100000,50.330002,2015-03-01
安徽,70.849998,46.130001,91.699997,24.980000,22.100000,0.980000,57.700001,2015-03-02
安徽,85.154999,46.020000,120.309998,26.559999,23.110001,0.970000,50.049999,2015-03-03
安徽,59.790001,27.900000,69.580002,39.619999,30.559999,0.880000,44.250000,2015-03-04
安徽,69.639999,41.759998,89.279999,32.980000,30.280001,1.050000,45.230000,2015-03-05
安徽,82.824997,61.259998,105.930000,24.070000,29.000000,1.110000,53.430000,2015-03-06
安徽,75.162498,55.130001,86.620003,20.559999,24.080000,0.980000,58.049999,2015-03-07
安徽,93.549995,69.839996,119.360001,34.209999,43.259998,1.350000,42.090000,2015-03-08
安徽,115.775002,87.620003,158.970001,38.880001,44.290001,1.450000,28.719999,2015-03-09
安徽,57.915001,26.930000,65.830002,24.719999,23.870001,0.900000,55.799999,2015-03-10
安徽,72.134995,50.650002,94.269997,32.220001,34.009998,1.080000,51.889999,2015-03-11
安徽,101.500000,76.199997,144.839996,32.169998,36.020000,1.360000,58.990002,2015-03-12
安徽,135.137497,103.110001,160.570007,45.549999,45.660000,1.490000,56.849998,2015-03-13
安徽,101.074997,75.860001,127.839996,34.200001,35.509998,1.310000,66.300003,2015-03-14
安徽,124.862503,94.889999,132.350006,24.820000,36.520000,1.400000,42.590000,2015-03-15
安徽,125.224998,95.180000,132.699997,23.320000,33.389999,1.450000,35.070000,2015-03-16
安徽,121.787498,92.430000,122.010002,22.540001,37.380001,1.560000,17.799999,2015-03-17
安徽,96.949997,72.559998,96.580002,27.570000,46.369999,1.630000,20.799999,2015-03-18
安徽,110.125000,83.099998,110.510002,30.110001,36.580002,1.580000,39.500000,2015-03-19
安徽,120.299995,91.239998,134.539993,23.900000,26.190001,1.390000,54.650002,2015-03-20
安徽,91.675003,65.639999,133.350006,27.059999,29.500000,1.300000,51.830002,2015-03-21
安徽,108.135002,66.190002,166.270004,36.169998,43.180000,1.560000,61.840000,2015-03-22
安徽,87.459999,34.209999,124.919998,33.759998,43.240002,1.050000,43.130001,2015-03-23
安徽,72.680000,43.049999,95.360001,25.680000,35.770000,1.140000,53.020000,2015-03-24
安徽,61.959999,33.619999,73.919998,24.350000,28.330000,1.040000,82.459999,2015-03-25
安徽,59.285000,33.009998,68.570000,22.750000,31.559999,1.010000,69.940002,2015-03-26
安徽,65.000000,47.000000,75.480003,20.440001,29.990000,1.070000,65.300003,2015-03-27
安徽,94.099998,70.279999,112.989998,21.250000,26.750000,1.350000,77.699997,2015-03-28
安徽,150.089996,101.199997,250.179993,42.169998,50.820000,1.880000,72.230003,2015-03-29
安徽,124.787506,94.830002,198.639999,30.559999,29.370001,1.500000,91.739998,2015-03-30
安徽,118.537506,89.830002,125.169998,25.860001,32.200001,1.610000,48.139999,2015-03-31
安徽,70.199997,51.160000,70.300003,16.510000,27.190001,1.210000,46.639999,2015-04-01
安徽,53.037498,37.430000,47.419998,12.210000,20.020000,1.160000,55.599998,2015-04-02
安徽,93.162498,69.529999,92.209999,26.860001,34.990002,1.490000,68.050003,2015-04-03
安徽,85.750000,63.599998,87.089996,26.430000,33.509998,1.400000,76.389999,2015-04-04
安徽,185.942856,140.160004,185.919998,46.590000,50.330002,1.760000,48.849998,2015-04-05
安徽,119.862503,90.889999,145.279999,30.190001,36.119999,1.530000,43.049999,2015-04-06
安徽,53.620003,32.320000,57.240002,20.080000,26.290001,0.980000,60.990002,2015-04-07
安徽,59.860001,37.400002,69.720001,16.930000,27.610001,1.130000,61.439999,2015-04-08
安徽,69.262497,50.410000,85.500000,24.030001,32.009998,1.300000,89.000000,2015-04-09
安徽,74.625000,54.700001,98.709999,21.480000,29.780001,1.330000,99.230003,2015-04-10
安徽,78.550003,57.840000,99.309998,24.530001,27.650000,1.310000,112.139999,2015-04-11
安徽,73.910004,48.860001,97.820000,19.660000,23.450001,1.150000,80.940002,2015-04-12
安徽,56.587502,40.270000,60.660000,18.180000,22.840000,1.010000,46.709999,2015-04-13
安徽,69.235001,47.099998,88.470001,22.020000,27.360001,1.140000,69.230003,2015-04-14
安徽,72.084999,41.340000,94.169998,20.610001,23.410000,0.990000,78.019997,2015-04-15
安徽,100.654999,49.810001,151.309998,13.510000,17.600000,0.720000,70.690002,2015-04-16
安徽,121.035004,52.959999,192.070007,31.500000,39.299999,1.270000,61.689999,2015-04-17
安徽,104.809998,70.269997,159.619995,30.600000,38.619999,1.540000,78.519997,2015-04-18
安徽,87.375000,64.900002,79.459999,19.430000,32.610001,1.580000,36.930000,2015-04-19
安徽,70.794998,50.110001,91.589996,30.250000,30.670000,1.180000,64.160004,2015-04-20
安徽,80.415001,53.840000,110.830002,19.670000,30.870001,1.170000,79.900002,2015-04-21
安徽,79.437500,58.549999,107.570000,23.650000,32.000000,1.030000,77.370003,2015-04-22
安徽,71.805000,44.020000,93.610001,20.250000,26.530001,1.120000,94.440002,2015-04-23
安徽,83.029999,60.540001,116.059998,32.529999,41.139999,1.380000,99.860001,2015-04-24
安徽,94.949997,70.959999,123.470001,30.709999,36.980000,1.270000,104.820000,2015-04-25
安徽,91.000000,67.800003,117.050003,26.120001,28.920000,1.080000,126.779999,2015-04-26
安徽,83.449997,61.759998,100.709999,31.440001,33.669998,1.030000,88.580002,2015-04-27
安徽,103.212502,77.570000,98.089996,24.420000,26.830000,1.190000,73.949997,2015-04-28
安徽,125.312500,95.250000,127.989998,26.620001,28.580000,1.220000,76.099998,2015-04-29
安徽,88.562500,65.849998,103.419998,21.100000,21.700001,0.970000,94.150002,2015-04-30
安徽,98.662498,73.930000,109.410004,23.459999,21.549999,0.980000,112.379997,2015-05-01
安徽,89.799995,66.839996,83.839996,21.400000,18.430000,0.940000,79.180000,2015-05-02
安徽,87.849998,65.279999,93.980003,20.280001,22.379999,0.920000,76.199997,2015-05-03
安徽,88.425003,55.220001,126.849998,35.950001,29.600000,0.950000,70.519997,2015-05-04
安徽,74.074997,54.259998,97.120003,27.600000,22.740000,0.990000,92.769997,2015-05-05
安徽,93.762505,70.010002,109.650002,29.139999,28.040001,1.130000,97.419998,2015-05-06
安徽,106.049995,79.839996,102.220001,22.809999,20.480000,0.990000,98.580002,2015-05-07
安徽,137.225006,104.779999,136.059998,33.810001,41.900002,1.450000,60.450001,2015-05-08
安徽,90.287506,67.230003,96.379997,22.280001,25.850000,1.020000,72.099998,2015-05-09
安徽,68.724998,49.980000,81.459999,20.129999,24.850000,0.810000,67.540001,2015-05-10
安徽,55.930000,34.169998,61.860001,19.430000,21.320000,0.730000,62.840000,2015-05-11
安徽,68.634995,26.000000,87.269997,17.910000,17.360001,0.430000,89.230003,2015-05-12
安徽,77.244995,47.410000,104.489998,17.610001,14.440000,0.610000,93.139999,2015-05-13
安徽,100.087502,75.070000,125.500000,25.030001,23.170000,0.850000,96.349998,2015-05-14
安徽,115.525002,71.070000,181.050003,39.220001,34.619999,1.060000,105.489998,2015-05-15
安徽,80.250000,52.750000,110.500000,27.809999,25.799999,0.800000,117.599998,2015-05-16
安徽,75.214996,55.169998,100.430000,23.770000,20.629999,0.820000,106.139999,2015-05-17
安徽,80.037498,59.029999,106.430000,19.629999,18.860001,0.790000,114.690002,2015-05-18
安徽,98.637505,73.910004,135.089996,25.070000,20.360001,0.890000,142.800003,2015-05-19
安徽,78.675003,42.130001,107.349998,38.310001,31.320000,0.800000,91.900002,2015-05-20
安徽,68.735001,40.049999,87.470001,24.059999,31.760000,0.750000,92.180000,2015-05-21
安徽,74.669998,54.540001,99.339996,24.559999,26.150000,0.830000,87.589996,2015-05-22
安徽,84.887497,62.910000,106.540001,23.680000,27.510000,0.880000,121.779999,2015-05-23
安徽,100.250000,75.199997,130.699997,22.969999,34.419998,1.070000,117.629997,2015-05-24
安徽,102.112503,76.690002,134.330002,26.770000,24.920000,1.010000,136.259995,2015-05-25
安徽,93.474998,69.779999,120.580002,27.200001,23.490000,0.850000,119.519997,2015-05-26
安徽,81.724998,60.380001,90.709999,24.340000,25.090000,0.800000,79.419998,2015-05-27
安徽,83.462502,61.770000,88.230003,20.580000,25.059999,0.750000,49.139999,2015-05-28
安徽,80.100006,59.080002,82.050003,16.760000,22.309999,0.880000,45.349998,2015-05-29
安徽,131.012497,99.809998,137.570007,24.719999,23.219999,1.200000,119.239998,2015-05-30
安徽,85.775002,63.619999,109.889999,20.820000,15.450000,0.970000,104.309998,2015-05-31
安徽,80.162498,59.130001,107.019997,21.270000,17.870001,0.930000,115.120003,2015-06-01
安徽,99.912498,74.930000,109.419998,22.680000,23.850000,1.080000,92.349998,2015-06-02
安徽,65.490005,40.520000,80.980003,23.420000,24.150000,0.850000,88.089996,2015-06-03
安徽,58.235001,24.790001,66.470001,22.389999,26.459999,0.640000,64.320000,2015-06-04
安徽,78.544998,35.840000,107.089996,16.870001,17.969999,0.510000,90.730003,2015-06-05
安徽,89.849998,46.049999,129.699997,16.809999,15.790000,0.600000,96.650002,2015-06-06
安徽,100.864998,74.750000,151.729996,22.299999,21.020000,0.860000,111.889999,2015-06-07
安徽,80.979996,49.000000,111.959999,28.260000,24.670000,0.840000,109.779999,2015-06-08
安徽,116.584999,83.400002,183.169998,26.330000,36.049999,1.090000,121.320000,2015-06-09
安徽,72.084999,50.779999,94.169998,18.620001,13.390000,0.750000,110.330002,2015-06-10
安徽,83.084999,35.770000,116.169998,16.440001,17.770000,0.550000,84.070000,2015-06-11
安徽,102.355003,53.950001,154.710007,22.500000,30.850000,0.750000,99.290001,2015-06-12
安徽,87.690002,53.290001,125.379997,24.150000,19.700001,0.670000,110.440002,2015-06-13
安徽,71.915001,50.320000,93.830002,38.290001,25.400000,0.940000,130.169998,2015-06-14
安徽,113.375000,85.699997,141.559998,26.750000,35.060001,1.170000,89.629997,2015-06-15
安徽,83.449997,61.759998,79.849998,22.160000,15.090000,0.760000,122.980003,2015-06-16
安徽,93.400002,69.720001,98.220001,25.230000,21.260000,0.870000,131.770004,2015-06-17
安徽,100.550003,75.440002,114.480003,20.230000,17.459999,0.820000,115.040001,2015-06-18
安徽,88.199997,65.559998,94.949997,18.910000,14.610000,0.810000,107.400002,2015-06-19
安徽,82.800003,61.240002,80.019997,22.809999,21.790001,0.960000,108.360001,2015-06-20
安徽,88.300003,65.639999,99.849998,23.400000,24.059999,0.940000,104.570000,2015-06-21
安徽,67.275002,48.820000,77.779999,20.930000,24.280001,0.780000,111.019997,2015-06-22
安徽,97.750000,73.199997,99.760002,23.889999,28.510000,0.890000,80.070000,2015-06-23
安徽,33.385715,23.370001,28.480000,15.990000,16.680000,0.570000,71.080002,2015-06-24
安徽,34.057144,23.840000,26.379999,13.590000,14.610000,0.760000,55.639999,2015-06-25
安徽,60.324997,43.259998,55.500000,18.700001,13.090000,0.840000,64.330002,2015-06-26
安徽,46.071430,32.250000,39.220001,15.240000,13.580000,0.780000,61.020000,2015-06-27
安徽,42.585712,29.809999,42.180000,15.770000,13.850000,0.590000,76.019997,2015-06-28
安徽,35.828571,25.080000,34.450001,14.700000,17.389999,0.620000,45.570000,2015-06-29
安徽,55.900002,39.720001,51.490002,16.639999,15.020000,0.690000,74.419998,2015-06-30
安徽,75.524994,55.419998,81.739998,17.980000,13.350000,0.790000,107.199997,2015-07-01
安徽,69.762505,50.810001,76.589996,16.809999,14.190000,0.800000,105.169998,2015-07-02
安徽,71.887497,52.509998,78.919998,24.840000,26.670000,0.850000,105.570000,2015-07-03
安徽,70.612503,51.490002,85.750000,23.820000,31.719999,0.920000,111.739998,2015-07-04
安徽,81.062500,59.849998,92.139999,17.590000,18.340000,0.850000,103.980003,2015-07-05
安徽,66.625000,48.299999,75.089996,14.820000,17.510000,0.640000,81.209999,2015-07-06
安徽,54.620003,35.639999,59.240002,17.490000,16.180000,0.650000,80.330002,2015-07-07
安徽,86.862495,64.489998,106.910004,22.059999,28.969999,0.950000,88.099998,2015-07-08
安徽,77.175003,56.740002,96.849998,27.920000,34.599998,0.980000,100.309998,2015-07-09
安徽,54.980000,36.099998,59.959999,18.400000,24.040001,0.780000,62.570000,2015-07-10
安徽,59.949997,42.959999,62.900002,17.790001,19.209999,0.770000,48.310001,2015-07-11
安徽,64.875000,46.900002,75.209999,24.820000,21.270000,0.910000,76.010002,2015-07-12
安徽,74.175003,54.340000,94.629997,17.639999,19.850000,0.850000,102.400002,2015-07-13
安徽,60.764999,40.020000,71.529999,16.340000,16.549999,0.770000,99.320000,2015-07-14
安徽,79.775002,58.820000,83.510002,25.260000,30.920000,1.010000,80.930000,2015-07-15
安徽,88.375000,65.699997,93.629997,13.900000,23.660000,1.040000,40.450001,2015-07-16
安徽,73.699997,53.959999,76.589996,18.049999,21.420000,0.780000,52.590000,2015-07-17
安徽,52.549999,36.200001,55.099998,19.190001,19.049999,0.640000,58.740002,2015-07-18
安徽,52.350002,36.880001,52.740002,14.770000,19.209999,0.730000,32.049999,2015-07-19
安徽,56.574997,40.259998,60.119999,14.900000,18.160000,0.700000,52.930000,2015-07-20
安徽,55.674999,37.820000,61.349998,17.330000,23.600000,0.700000,59.200001,2015-07-21
安徽,61.369999,43.770000,72.739998,14.020000,21.400000,0.720000,70.680000,2015-07-22
安徽,52.465000,36.869999,54.930000,12.990000,20.840000,0.720000,60.900002,2015-07-23
安徽,59.174999,42.340000,60.810001,13.710000,18.410000,0.750000,68.830002,2015-07-24
安徽,64.562500,46.650002,67.260002,13.540000,18.770000,0.770000,80.110001,2015-07-25
安徽,57.570000,39.509998,65.139999,16.750000,18.330000,0.780000,78.339996,2015-07-26
安徽,53.559998,33.330002,57.119999,14.520000,18.530001,0.800000,46.090000,2015-07-27
安徽,33.840000,18.969999,33.840000,15.440000,11.390000,0.570000,57.000000,2015-07-28
安徽,38.169998,18.879999,38.169998,17.120001,11.440000,0.510000,70.739998,2015-07-29
安徽,39.939999,21.170000,39.939999,19.799999,12.660000,0.500000,76.250000,2015-07-30
安徽,39.980000,23.110001,39.980000,17.200001,16.959999,0.610000,58.360001,2015-07-31
安徽,48.200001,29.420000,48.200001,14.380000,13.960000,0.590000,59.689999,2015-08-01
安徽,47.430000,25.379999,47.430000,16.930000,12.040000,0.580000,67.650002,2015-08-02
安徽,48.889999,23.940001,48.889999,18.420000,12.000000,0.550000,72.480003,2015-08-03
安徽,50.620003,32.650002,51.240002,14.710000,8.600000,0.590000,79.830002,2015-08-04
安徽,53.055000,33.880001,56.110001,14.760000,16.070000,0.700000,58.209999,2015-08-05
安徽,40.889999,28.520000,40.889999,14.430000,11.350000,0.690000,44.549999,2015-08-06
安徽,52.110001,31.690001,54.220001,18.230000,16.270000,0.760000,84.250000,2015-08-07
安徽,39.730000,19.180000,39.730000,23.559999,18.540001,0.630000,29.610001,2015-08-08
安徽,42.669998,24.070000,42.669998,22.110001,19.219999,0.630000,33.360001,2015-08-09
安徽,35.810001,21.330000,35.810001,19.370001,19.160000,0.540000,39.799999,2015-08-10
安徽,52.370003,29.120001,54.740002,26.040001,26.770000,0.810000,70.940002,2015-08-11
安徽,89.512497,66.610001,106.360001,21.209999,30.540001,1.010000,96.269997,2015-08-12
安徽,84.937500,62.950001,102.750000,17.379999,21.299999,0.980000,96.550003,2015-08-13
安徽,68.937500,50.150002,77.599998,19.190001,17.270000,0.850000,97.349998,2015-08-14
安徽,66.712502,48.369999,77.870003,25.309999,26.740000,0.970000,86.339996,2015-08-15
安徽,76.449997,56.160000,88.300003,27.920000,31.219999,1.060000,86.059998,2015-08-16
安徽,63.735001,45.560001,77.470001,20.990000,22.059999,0.900000,86.550003,2015-08-17
安徽,55.035000,34.709999,60.070000,26.670000,23.580000,0.810000,75.690002,2015-08-18
安徽,51.610001,33.540001,53.220001,26.340000,29.760000,0.820000,52.220001,2015-08-19
安徽,63.200001,45.560001,63.740002,28.549999,25.350000,1.020000,75.309998,2015-08-20
安徽,60.665001,41.820000,71.330002,19.799999,23.260000,0.870000,106.070000,2015-08-21
安徽,61.755001,37.700001,73.510002,16.719999,18.700001,0.820000,95.750000,2015-08-22
安徽,52.754997,35.540001,55.509998,24.230000,20.100000,0.960000,118.680000,2015-08-23
安徽,79.125000,58.299999,88.730003,40.869999,29.650000,1.160000,93.059998,2015-08-24
安徽,66.449997,48.160000,72.620003,27.730000,21.730000,0.950000,87.000000,2015-08-25
安徽,58.724998,41.980000,66.199997,24.760000,22.660000,0.940000,81.959999,2015-08-26
安徽,64.224998,45.570000,78.449997,31.260000,34.410000,1.110000,85.940002,2015-08-27
安徽,66.650002,48.320000,81.419998,19.020000,33.779999,1.000000,87.709999,2015-08-28
安徽,51.540001,29.410000,53.080002,24.790001,24.580000,0.900000,84.910004,2015-08-29
安徽,58.689999,40.270000,67.379997,26.840000,28.610001,1.090000,97.540001,2015-08-30
安徽,61.300003,44.040001,68.779999,25.600000,26.440001,0.910000,76.750000,2015-08-31
安徽,41.720001,25.860001,41.720001,17.209999,17.000000,0.830000,80.080002,2015-09-01
安徽,44.889999,28.170000,44.889999,12.450000,13.730000,0.770000,73.459999,2015-09-02
安徽,58.130001,36.970001,66.260002,27.559999,23.629999,0.950000,88.279999,2015-09-03
安徽,55.565002,37.599998,61.130001,22.450001,21.610001,0.900000,81.760002,2015-09-04
安徽,54.537502,38.630001,52.680000,16.639999,9.750000,0.820000,77.660004,2015-09-05
安徽,63.290001,45.189999,76.580002,27.320000,26.299999,1.080000,69.809998,2015-09-06
安徽,63.080002,40.939999,76.160004,30.969999,30.150000,0.910000,91.870003,2015-09-07
安徽,53.184998,28.580000,56.369999,24.040001,24.860001,0.740000,74.320000,2015-09-08
安徽,48.270000,21.870001,48.270000,25.059999,22.250000,0.670000,78.570000,2015-09-09
安徽,63.275002,40.540001,76.550003,27.930000,25.450001,0.850000,88.470001,2015-09-10
安徽,70.875000,51.700001,71.370003,19.330000,23.629999,0.970000,51.240002,2015-09-11
安徽,52.139999,27.200001,54.279999,23.480000,21.879999,0.710000,57.000000,2015-09-12
安徽,59.645000,31.290001,69.290001,26.850000,35.730000,0.760000,63.110001,2015-09-13
安徽,57.070000,27.870001,64.139999,29.629999,28.200001,0.750000,81.489998,2015-09-14
安徽,53.299999,24.690001,56.599998,26.090000,31.610001,0.760000,67.849998,2015-09-15
安徽,57.849998,30.920000,65.699997,23.150000,30.320000,0.760000,74.260002,2015-09-16
安徽,67.279999,41.009998,84.559998,26.400000,30.700001,0.910000,82.620003,2015-09-17
安徽,69.709999,45.380001,89.419998,23.000000,30.540001,0.890000,76.379997,2015-09-18
安徽,96.450005,72.160004,130.250000,21.459999,40.619999,1.110000,81.860001,2015-09-19
安徽,103.950005,78.160004,140.860001,36.630001,43.169998,1.310000,81.839996,2015-09-20
安徽,74.062500,54.250000,95.690002,28.090000,28.660000,0.990000,94.220001,2015-09-21
安徽,68.550003,49.070000,87.099998,24.139999,29.389999,0.920000,66.760002,2015-09-22
安徽,76.224998,55.980000,84.230003,15.950000,25.410000,0.920000,76.570000,2015-09-23
安徽,101.237495,75.989998,134.399994,32.110001,65.830002,1.430000,33.340000,2015-09-24
安徽,93.875000,70.099998,112.949997,20.469999,30.049999,0.980000,87.209999,2015-09-25
安徽,86.559998,62.099998,123.120003,35.560001,41.639999,1.200000,83.419998,2015-09-26
安徽,64.790001,37.169998,79.580002,30.780001,30.600000,0.970000,93.599998,2015-09-27
安徽,56.044998,30.870001,62.090000,29.020000,27.760000,0.760000,87.720001,2015-09-28
安徽,56.075001,26.000000,62.150002,21.459999,19.930000,0.620000,79.709999,2015-09-29
安徽,35.419998,18.490000,35.419998,15.140000,23.600000,0.710000,49.480000,2015-09-30
安徽,68.055000,29.240000,86.110001,14.230000,19.100000,0.590000,59.529999,2015-10-01
安徽,102.209999,71.589996,154.419998,20.270000,40.820000,0.840000,69.959999,2015-10-02
安徽,110.412506,83.330002,167.190002,34.000000,57.709999,1.110000,84.080002,2015-10-03
安徽,102.375000,76.900002,153.210007,33.599998,49.849998,1.100000,77.550003,2015-10-04
安徽,74.240005,52.669998,98.480003,25.629999,42.910000,0.950000,73.279999,2015-10-05
安徽,79.887497,58.910000,105.260002,27.780001,40.240002,1.010000,70.309998,2015-10-06
安徽,40.970001,27.100000,40.970001,15.910000,24.219999,0.670000,56.580002,2015-10-07
安徽,59.689999,36.480000,69.379997,31.629999,34.810001,0.880000,39.220001,2015-10-08
安徽,65.419998,34.099998,80.839996,25.840000,42.200001,0.690000,41.709999,2015-10-09
安徽,65.525002,37.180000,81.050003,29.170000,35.560001,0.680000,43.180000,2015-10-10
安徽,76.369995,41.820000,102.739998,23.700001,46.630001,0.880000,53.209999,2015-10-11
安徽,83.395004,51.580002,116.790001,27.590000,61.830002,1.210000,58.939999,2015-10-12
安徽,106.387497,80.110001,134.960007,27.469999,63.430000,1.240000,82.410004,2015-10-13
安徽,96.012497,71.809998,119.059998,29.820000,44.610001,0.980000,97.370003,2015-10-14
安徽,137.199997,104.760002,172.770004,47.400002,59.959999,1.410000,90.000000,2015-10-15
安徽,189.899994,142.929993,222.410004,52.560001,80.669998,1.900000,94.250000,2015-10-16
安徽,139.100006,106.279999,181.550003,43.869999,42.730000,1.450000,132.809998,2015-10-17
安徽,96.175003,71.940002,124.540001,38.279999,41.930000,1.130000,111.459999,2015-10-18
安徽,86.212502,63.970001,117.169998,29.350000,44.500000,1.040000,60.570000,2015-10-19
安徽,70.365005,45.750000,90.730003,29.690001,44.009998,0.900000,71.690002,2015-10-20
安徽,80.794998,56.740002,111.589996,30.459999,46.209999,1.020000,60.610001,2015-10-21
安徽,91.949997,68.559998,122.190002,34.529999,42.790001,1.160000,61.410000,2015-10-22
安徽,124.224998,94.379997,165.539993,29.860001,42.279999,1.530000,42.900002,2015-10-23
安徽,174.628586,132.240005,200.729996,41.099998,45.450001,1.830000,63.580002,2015-10-24
安徽,69.199997,48.340000,88.400002,31.260000,39.849998,1.180000,52.279999,2015-10-25
安徽,64.324997,46.459999,63.070000,17.620001,32.799999,0.940000,31.020000,2015-10-26
安徽,62.424999,34.330002,74.849998,23.040001,35.740002,0.910000,34.889999,2015-10-27
安徽,75.020004,52.270000,100.040001,30.459999,58.919998,1.000000,35.150002,2015-10-28
安徽,110.400002,83.320000,142.720001,48.689999,58.759998,1.330000,34.840000,2015-10-29
安徽,65.839996,42.299999,81.680000,43.259998,48.419998,0.980000,34.410000,2015-10-30
